sort, data_size, ms,,
lexMergeSort(),8000,1371,,
lexMergeSort(),8000,1369,,
lexMergeSort(),8000,1363,,
lexMergeSort(),8000,1369,,
lexMergeSort(),8000,1368,,
lexMergeSort(),16000,2960,,
lexMergeSort(),16000,2977,,
lexMergeSort(),16000,2960,,
lexMergeSort(),16000,2974,,
lexMergeSort(),16000,2967,,
lexMergeSort(),32000,6419,,
lexMergeSort(),32000,6432,,
lexMergeSort(),32000,6415,,
lexMergeSort(),32000,6423,,
lexMergeSort(),32000,6426,,
lexMergeSort(),64000,14010,,
lexMergeSort(),64000,13980,,
lexMergeSort(),64000,13963,,
lexMergeSort(),64000,13981,,
lexMergeSort(),64000,13936,,
lexMergeSort(),128000,30603,,
lexMergeSort(),128000,30470,,
lexMergeSort(),128000,30521,,
lexMergeSort(),128000,30504,,
lexMergeSort(),128000,30467,,
lexMergeSort(),256000,66829,,
lexMergeSort(),256000,66651,,
lexMergeSort(),256000,66632,,
lexMergeSort(),256000,66536,,
lexMergeSort(),256000,66434,,
lexMergeSort(),512000,145458,,
lexMergeSort(),512000,144183,,
lexMergeSort(),512000,145444,,
lexMergeSort(),512000,145485,,
lexMergeSort(),512000,145403,,
lexMergeSort(),1024000,318527,,
lexMergeSort(),1024000,317961,,
lexMergeSort(),1024000,318086,,
lexMergeSort(),1024000,317820,,
lexMergeSort(),1024000,317719,,
lexMergeSort(),2048000,695608,,
lexMergeSort(),2048000,695289,,
lexMergeSort(),2048000,695007,,
lexMergeSort(),2048000,695175,,
lexMergeSort(),2048000,694242,,
lexMergeSort(),4096000,1524985,,
lexMergeSort(),4096000,1535723,,
lexMergeSort(),4096000,1524094,,
lexMergeSort(),4096000,1536439,,